"","market","producer","totalcomb","newrfpdtq","combnewrenrfpsold","clusters"
"1","Arizona","Ariz1",1,0,1,3
"2","Arizona","Ariz2",2,2,0,3
"3","Arizona","Ariz3",6,4,0,3
"4","Arizona","Ariz4",1,0,0,3
"5","Arizona","Ariz5",1,0,0,3
"6","Arizona","Ariz6",2,1,0,3
"7","Arizona","Ariz7",1,1,0,3
"8","Arizona","Ariz8",9,3,4,3
"9","Arizona","Ariz9",7,3,0,3
"10","Arizona","Ariz10",3,1,1,3
"11","Arizona","Ariz11",4,3,0,3
"12","Arizona","Ariz12",88,30,30,1
"13","Arizona","Ariz13",16,2,9,3
"14","Arizona","Ariz14",1,1,0,3
"15","Arizona","Ariz15",3,1,0,3
"16","Arizona","Ariz16",50,22,4,4
"17","Arizona","Ariz17",1,0,0,3
"18","Arizona","Ariz18",3,1,2,3
"19","Arizona","Ariz19",4,2,0,3
"20","Arizona","Ariz20",13,3,1,3
"21","Arizona","Ariz21",1,1,0,3
"22","Arizona","Ariz22",2,2,0,3
"23","Arizona","Ariz23",3,0,2,3
"24","Arizona","Ariz24",1,0,0,3
"25","Arizona","Ariz25",21,12,2,3
"26","Arizona","Ariz26",2,1,0,3
"27","Arizona","Ariz27",1,0,0,3
"28","Arizona","Ariz28",2,1,1,3
"29","Arizona","Ariz29",5,1,1,3
"30","Arizona","Ariz30",1,1,0,3
"31","Arizona","Ariz31",4,2,1,3
"32","Arizona","Ariz32",1,1,0,3
"33","Arizona","Ariz33",3,1,0,3
"34","Arizona","Ariz34",4,0,0,3
"35","Arizona","Ariz35",9,1,7,3
"36","Arizona","Ariz36",1,0,1,3
"37","Arizona","Ariz37",1,0,0,3
"38","Arizona","Ariz38",1,0,0,3
"39","Arizona","Ariz39",1,0,0,3
"40","Arizona","Ariz40",3,1,1,3
"41","Arizona","Ariz41",8,4,0,3
"42","Arizona","Ariz42",27,8,6,4
"43","Arizona","Ariz43",2,1,0,3
"44","Arizona","Ariz44",2,1,0,3
"45","Arizona","Ariz45",55,20,12,4
"46","Arizona","Ariz46",5,1,3,3
"47","Arizona","Ariz47",50,20,13,4
"48","Arizona","Ariz48",7,4,0,3
"49","Arizona","Ariz49",1,1,0,3
"50","Arizona","Ariz50",3,2,0,3
"51","Arizona","Ariz51",3,2,0,3
"52","Arizona","Ariz52",1,0,0,3
"53","Arizona","Ariz53",2,0,0,3
"54","Arizona","Ariz54",1,0,0,3
"55","Arizona","Ariz55",2,0,2,3
"56","Arizona","Ariz56",1,0,0,3
"57","Arizona","Ariz57",7,1,1,3
"58","Arizona","Ariz58",5,2,1,3
"59","Arizona","Ariz59",1,0,0,3
"60","Arizona","Ariz60",3,0,1,3
"61","Arizona","Ariz61",2,0,0,3
"62","Arizona","Ariz62",3,0,0,3
